Overall Time cost(in secs.): 0.5441009998321533
Size of RS-repair: 265
Distribution of Representative Column : {'2': 53, '1': 212}
Time cost of PostClean(in secs.): 0.005146503448486328
RAC1P SEX REGION ST CIT  NATIVITY DIS DIVISION RAC2P POBP WAOB    ID
    1   2      1  9   1         1   2        1     1    9    1  6253
    1   2      1  9   1         1   2        1     1    9    1  6256
    1   1      2 29   1         1   2        4     1   29    1 16922
    1   2      2 29   1         1   2        4     1   29    1 16915
    1   2      2 29   1         1   2        4     1   29    1 16952
    1   1      2 29   1         1   2        4     1   20    1 17130
    1   1      2 29   1         1   2        4     1   29    1 16710
    1   2      2 29   1         1   2        4     1   29    1 16735
    1   2      2 29   1         1   2        4     1    5    1 16725
    1   2      2 29   1         1   2        4     1   29    1 17072
    1   2      2 29   1         1   2        4     1   29    1 16991
    1   2      2 29   1         1   2        4     1   29    1 16933
    1   1      2 29   1         1   2        4     1    6    1 16907
    1   2      2 29   1         1   1        4     1   29    1 17098
    1   2      2 29   1         1   1        4     1   29    1 16889
    1   1      2 29   1         1   1        4     1   29    1 17106
    6   1      4 15   1         1   1        9    45   15    1  9525
    1   1      4 15   1         1   2        9     1   29    1  9533
    9   1      4 41   1         1   2        9    68   41    1 24067
    1   2      4 41   1         1   2        9     1   41    1 24106
    9   2      4 41   1         1   2        9    68   41    1 23956
    1   2      2 17   1         1   2        3     1   17    1 10339
    1   2      2 17   1         1   2        3     1   18    1 10649
    2   2      2 17   1         1   2        3     2   17    1 10301
    1   1      2 17   1         1   2        3     1   17    1 11017
    1   1      2 17   1         1   2        3     1   53    1 10618
    1   2      2 17   1         1   2        3     1   17    1 10744
    1   2      2 17   1         1   2        3     1   17    1 11144
    1   2      2 17   1         1   2        3     1   36    1 11154
    1   1      2 17   1         1   2        3     1   19    1 10335
    1   2      2 17   1         1   2        3     1   17    1 10488
    1   2      2 17   1         1   2        3     1   17    1 10612
    2   1      1 36   1         1   2        2     2   36    1 19661
    1   1      1 36   1         1   1        2     1   36    1 19213
    9   1      1 36   1         1   2        2    68   36    1 20076
    1   1      1 36   1         1   2        2     1   36    1 19247
    1   1      1 36   1         1   1        2     1   36    1 19293
    2   1      1 36   1         1   2        2     2   36    1 19260
    1   2      1 36   1         1   2        2     1   36    1 19666
    9   1      1 36   1         1   2        2    68   36    1 19370
    1   1      1 36   1         1   1        2     1   36    1 20222
    1   2      1 36   1         1   2        2     1   36    1 20911
    9   1      1 36   1         1   2        2    68   36    1 20005
    9   2      1 36   1         1   2        2    68   36    1 19591
    1   2      1 36   1         1   2        2     1   36    1 19267
    1   1      1 36   1         1   2        2     1   36    1 19536
    1   2      1 36   1         1   2        2     1   36    1 20293
    9   1      1 36   1         1   2        2    68   36    1 21134
    1   1      4 49   1         1   2        8     1   49    1 29736
    1   2      4 49   1         1   2        8     1   16    1 29959
    1   2      4 49   1         1   2        8     1   49    1 29817
    1   1      4 49   1         1   2        8     1   49    1 29654
    1   1      4 49   1         1   2        8     1   49    1 29825
    9   1      4  8   1         1   1        8    68    8    1  5925
    6   2      4  8   1         1   2        8    43    8    1  5517
    9   1      4  8   1         1   1        8    68    6    1  5609
    3   2      4  4   1         1   2        8    18    4    1   739
    1   2      4  4   1         1   1        8     1    6    1  1192
    2   2      3 45   1         1   2        5     2   28    1 25908
    9   2      3 45   1         1   1        5    68   24    1 25982
    2   2      3 45   1         1   2        5     2   45    1 25860
    3   1      3 45   1         1   2        5     5   45    1 25743
    1   2      3 45   1         1   2        5     1   17    1 26050
    9   2      3 45   1         1   2        5    68   15    1 26184
    1   2      3 45   1         1   2        5     1   20    1 26036
    1   1      3 45   1         1   2        5     1   45    1 25969
    2   1      3 37   1         1   2        5     2   36    1 21265
    1   1      3 37   3         1   2        5     1  316    3 22178
    2   2      3 37   1         1   2        5     2   37    1 21597
    2   2      3 37   1         1   1        5     2   40    1 21339
    1   2      3 37   1         1   2        5     1   37    1 21447
    1   1      3 37   1         1   2        5     1   37    1 21512
    1   1      3 37   1         1   2        5     1   37    1 21403
    1   1      3 37   1         1   2        5     1   37    1 21708
    1   2      3 37   1         1   2        5     1   37    1 21189
    1   1      3 37   1         1   2        5     1   37    1 21472
    1   2      3  5   1         1   2        7     1   35    1  1504
    1   2      3  5   1         1   2        7     1    5    1  1546
    8   1      3  5   1         1   2        7    67    4    1  1442
    1   1      3  5   1         1   2        7     1    5    1  1545
    9   1      3  5   1         1   2        7    68    5    1  1606
    1   2      3  5   1         1   2        7     1    5    1  1596
    1   2      3  5   1         1   2        7     1    5    1  1331
